date,uci,usd_uzs,trading_volume,trading_value,log_uci,log_fx,r_uci,r_fx,zero_return_uci,zero_volume_uci,zero_value_uci,post_reform
2020-02-14,614.84,9539.16,3310406,555660843.6800001,6.421362071356731,9.16316071025121,-1.712530766449305,-0.027042749720607162,0,0,0,1
2020-02-21,609.05,9528.49,3245672,342132838.77,6.411900366145968,9.16204153708475,-0.9461705210763505,-0.11191731664599303,0,0,0,1
2020-02-28,614.24,9526.28,12235336,1380514182.06,6.4203857312524875,9.161809574168387,0.8485365106519538,-0.023196291636295996,0,0,0,1
2020-03-06,613.52,9513.84,40780972,13958985972.56,6.419212863456604,9.160502859528972,-0.11728677958835476,-0.13067146394156737,0,0,0,1
2020-03-13,614.77,9500.54,84100762,502357193.46,6.4212482141173215,9.159103918078443,0.2035350660717583,-0.13989414505282127,0,0,0,1
2020-03-20,606.58,9520.34,1763369,356852873.21999997,6.407836624054821,9.161185841433385,-1.34115900625007,0.2081923354941395,0,0,0,1
2020-03-27,605.92,9532.74,1348662,320170160.6,6.406747964153484,9.162487468440746,-0.10886599013364417,0.13016270073613612,0,0,0,1
2020-04-03,615.55,9554.22,435031,2405676521.66,6.422516177093624,9.164738220689186,1.5768212940139748,0.22507522484396247,0,0,0,1
2020-04-10,613.04,9590.1,469809,81714403.88,6.418430186662149,9.168486595351794,-0.4085990431475395,0.3748374662608356,0,0,0,1
2020-04-17,601.47,10121.0,669549,114276339.73,6.3993766588591985,9.222367752188902,-1.905352780295022,5.388115683710737,0,0,0,1
2020-04-24,604.25,10137.94,1419439,245084576.69,6.4039880195835925,9.224040100687695,0.46113607243940535,0.16723484987934967,0,0,0,1
2020-05-01,617.5,10130.0,1116515,196588770.11,6.4256790685021326,9.22325659724273,2.1691048918540012,-0.07835034449659162,0,0,0,1
2020-05-08,618.32,10129.39,776961,1311550094.99,6.427006122798615,9.223196378252899,0.13270542964827214,-0.006021898983021856,0,0,0,1
2020-05-15,617.31,10137.2,35671183,3672667149.8199997,6.425371328847449,9.22396710489084,-0.163479395116628,0.07707266379402,0,0,0,1
2020-05-22,621.19,10129.56,1129480,217228863.03,6.43163699326988,9.223213160958815,0.6265664422430817,-0.07539439320236596,0,0,0,1
2020-05-29,627.88,10139.3,1624431,1721395334.17,6.442349065407006,9.224174241231678,1.0712072137126327,0.09610802728623469,0,0,0,1
2020-06-05,626.52,10148.31,8655872,1010727008.25,6.440180697210462,9.225062468143806,-0.21683681965445345,0.08882269121279762,0,0,0,1
2020-06-12,623.43,10153.19,2958441,1113180518.28,6.435236489370733,9.22554322080681,-0.4944207839728598,0.048075266300351416,0,0,0,1
2020-06-19,631.08,10151.9,4677022,993548814.4899999,6.447432637389253,9.225416159069901,1.2196148018520425,-0.012706173690801847,0,0,0,1
2020-06-26,633.93,10172.76,5626623,2471699875.4,6.451938538246946,9.227468838654648,0.4505900857692424,0.20526795847466417,0,0,0,1
2020-07-03,630.58,10173.38,4122352,4176131390.2599998,6.446640030781806,9.227529783875726,-0.5298507465139934,0.006094522107780165,0,0,0,1
2020-07-10,629.64,10184.73,1414636,589820888.54,6.44514822748662,9.228644818736619,-0.1491803295185612,0.11150348608932603,0,0,0,1
2020-07-17,633.46,10194.96,13366980,7221710209.9800005,6.451196856489088,9.229648759508951,0.604862900246772,0.10039407723319016,0,0,0,1
2020-07-24,638.1,10210.39,5633385,3909750527.64,6.458495010874302,9.231161108274442,0.7298154385213529,0.15123487654911116,0,0,0,1
2020-07-31,632.22,10207.69,3245102,580910652.8,6.449237434839492,9.230896636784886,-0.9257576034809922,-0.026447148955632827,0,0,0,1
2020-08-07,631.74,10209.86,387049,130822681.92,6.448477917096723,9.231109199017688,-0.07595177427690558,0.021256223280197162,0,0,0,1
